time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-09T10:30:40.321,fp_eeff13170a,1,82fc7c34-7c3c-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,472,56,528,0.4,10,4,0,0,0,6,0,0,,
2023-11-09T10:40:44.457,fp_eeff13170a,1,2948002b-9817-11ec-986f-f39926f24a9c,Non-Procedural Programming,,(title in AnonLang),prolog,al,0,0,389,26,415,0.8,5,4,0,0,0,0,1,0,,
2023-11-09T10:40:48.505,fp_eeff13170a,1,f42b809e-9ee7-11ec-986f-f39926f24a9c,Programming I and II,,FACTORIAL,python3,en,0,0,375,35,410,0,5,0,0,0,5,0,0,0,,
2023-11-09T10:40:52.659,fp_eeff13170a,1,db4160dc-a811-11e7-a937-00505601122b,Programming I and II,,All parenthesizations,python3,en,0,0,328,130,458,1,6,6,0,0,0,0,0,0,,
2023-11-09T10:40:56.710,fp_eeff13170a,1,523b4b10-ce05-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,490,104,594,1,1,1,0,0,0,0,0,0,,
2023-11-09T10:41:00.325,fp_eeff13170a,1,c240887e-3384-11ec-986f-f39926f24a9c,Programming I and II,,Squares in a triangle,python3,en,0,0,415,46,461,1,3,3,0,0,0,0,0,0,,
2023-11-09T10:41:04.090,fp_eeff13170a,1,ed23d4a7-85fc-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,497,69,566,0,5,0,0,0,5,0,0,0,,
2023-11-09T10:41:12.480,fp_eeff13170a,1,964ca5ca-a88f-11e7-a937-00505601122b,Programming I and II,,Adjusting a matrix to zero,python3,en,0,0,386,81,467,0.75,4,3,0,1,0,0,0,0,,
2023-11-09T10:41:15.987,fp_eeff13170a,1,947ce196-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,483,72,555,0,4,0,0,4,0,0,0,0,,
2023-11-09T10:41:20.143,fp_eeff13170a,1,0dd06ca4-44c0-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,503,132,635,0,5,0,0,0,5,0,0,0,,
2023-11-09T10:41:23.550,fp_eeff13170a,1,e768f5a8-401b-11ec-986f-f39926f24a9c,Algoritmizace,,All permutations of a string,python3,en,0,0,358,43,401,0.8,5,4,0,0,1,0,0,0,,
2023-11-09T10:41:27.991,fp_eeff13170a,1,28c2a5b5-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,569,112,681,1,4,4,0,0,0,0,0,0,,
2023-11-09T10:41:33.076,fp_eeff13170a,1,855e23af-a8e2-11e7-a937-00505601122b,Programming I and II,,Maximum value in a sequence (with occurrences),c-gcc-linux,en,0,0,368,186,554,1,3,3,0,0,0,0,0,0,,
2023-11-09T10:41:38.480,fp_eeff13170a,1,f1276714-2ea0-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,511,119,630,1,2,2,0,0,0,0,0,0,,
2023-11-09T10:41:41.975,fp_eeff13170a,1,e872c79b-e68a-11e9-9ce9-00505601122b,Data Structures I,,Red-black trees,cxx-gcc-linux,en,0,0,482,84,566,0,7,0,0,0,7,0,0,0,,
2023-11-09T10:41:46.202,fp_eeff13170a,1,86450a4d-95af-11ec-986f-f39926f24a9c,Non-Procedural Programming,,Run-lenght encoding,prolog,en,0,0,388,91,479,1,4,4,0,0,0,0,0,0,,
2023-11-09T10:41:52.428,fp_eeff13170a,1,6c0a2776-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,468,138,606,0.27,11,3,0,0,5,3,0,0,,
