time,id,group1,group2,name,runtime,lang,num_atts,sub_atts,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-11T08:48:24.737,fd87c76a-ec64-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,
2023-11-11T08:48:32.335,0018a241-31ed-11ec-986f-f39926f24a9c,Java,,QUICK-SORT,java,en,0,0,1,3,3,0,0,0,0,0,0,
2023-11-11T08:48:36.005,1ad5c2a6-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,
2023-11-11T08:48:39.172,20f681d4-eaa7-11e9-9ce9-00505601122b,Programming I and II,,Good numbers,python3,en,0,0,0,5,0,0,5,0,0,0,0,
2023-11-11T08:48:43.885,007a8871-2c62-4740-9615-613663a20e42,Programming I and II,,(title in AnonLang),python3,al,0,0,0,1,0,0,0,1,0,0,0,
2023-11-11T08:48:49.657,aea0d783-4b99-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,0,4,0,0,0,
2023-11-11T08:48:53.553,c9d9150f-d905-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,2,0,0,0,2,0,0,0,
2023-11-11T08:49:02.279,b8027a86-fc08-11e8-b0fd-00505601122b,Web Applications,,PHP - Sieve of Eratosthenes,php-linux,en,5,5,0,3,0,0,3,0,0,0,0,
2023-11-11T08:49:07.517,c079d101-827c-11eb-a1a9-005056ad4f31,Programming I and II,,Permutations in the columns of a matrix,cs-dotnet-core,en,0,0,0.88,8,7,0,0,1,0,0,0,
2023-11-11T08:49:10.766,ae5acb61-5ac6-11e9-b0fd-00505601122b,Programming I and II,,Young tableaux R,python3,en,0,0,0.29,7,2,0,0,5,0,0,0,
2023-11-11T08:49:16.556,e70fa3b0-28ad-11e8-9de3-00505601122b,Programming I and II,,Queue,python3,en,0,0,0.4,5,2,0,0,3,0,0,0,
2023-11-11T08:49:20.309,350d5208-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,10,0,0,10,0,0,0,0,
2023-11-11T08:49:28.597,bdb8d1b4-6dbb-11ea-a595-00505601122b,Non-Procedural Programming,,Lists,haskell,en,0,0,0.57,7,4,0,0,0,2,1,0,
2023-11-11T08:49:31.865,3deef23c-8eff-11ec-986f-f39926f24a9c,Programming I and II,,Odd Fib Sum,python3,en,0,0,0.6,5,3,0,0,2,0,0,0,
2023-11-11T08:49:35.426,fd9fb352-c2fc-4ac1-88d2-145e40a583d8,Programming I and II,,(title in AnonLang),python3,al,1,1,0,2,0,0,2,0,0,0,0,
2023-11-11T08:49:46.400,e5d6ac79-0a4a-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,
